noc2011_code,soc2010_code
6722,53-7041
6731,37-2011
6731,37-2012
6731,37-3019
6731,53-7061
6732,37-2011
6732,37-2012
6732,37-2019
6732,47-4071
6732,53-7061
6733,37-2011
6733,37-3019
6733,49-9071
6733,49-9098
6733,49-9099
6741,51-6011
6741,51-6021
6742,37-1011
6742,39-1021
6742,39-3021
6742,39-3031
6742,39-3091
6742,39-3093
6742,39-9021
6742,39-9099
6742,43-5021
6742,53-1031
6742,53-3011
6742,53-3031
6742,53-3033
6742,53-3041
6742,53-6021
6742,53-6099
6742,53-7199
7201,47-2011
7201,47-2171
7201,47-2211
7201,47-2221
7201,49-9094
7201,49-9096
7201,51-2041
7201,51-4011
7201,51-4012
7201,51-4021
7201,51-4022
7201,51-4023
7201,51-4031
7201,51-4032
7201,51-4033
7201,51-4034
7201,51-4035
7201,51-4041
7201,51-4061
7201,51-4062
7201,51-4081
7201,51-4111
7201,51-4121
7201,51-4122
7201,51-4192
7201,51-4194
7201,51-4199
7201,51-9022
7201,51-9061
7202,47-2111
7202,47-2231
7202,47-4021
7202,49-1011
7202,49-2011
7202,49-2021
7202,49-2022
7202,49-2092
7202,49-2093
7202,49-2094
7202,49-2095
7202,49-2096
7202,49-2097
7202,49-2098
7202,49-3053
7202,49-9011
7202,49-9012
7202,49-9031
7202,49-9051
7202,49-9052
7202,49-9097
7203,47-1011
7204,47-1011
7204,51-7011
7204,51-7021
7204,51-7031
7204,51-7032
7205,27-1023
7205,37-1012
7205,37-2021
7205,37-3012
7205,47-1011
7205,47-4021
7205,49-1011
7205,49-2011
7205,49-2021
7205,49-2022
7205,49-2092
7205,49-2093
7205,49-2094
7205,49-2095
7205,49-2096
7205,49-2097
7205,49-2098
7205,49-3053
7205,49-3091
7205,49-9011
7205,49-9012
7205,49-9031
7205,49-9052
7205,49-9061
7205,49-9062
7205,49-9063
7205,49-9064
7205,49-9069
7205,49-9097
7205,51-9083
7231,51-4011
7231,51-4021
7231,51-4022
7231,51-4023
7231,51-4031
7231,51-4032
7231,51-4033
7231,51-4034
7231,51-4035
7231,51-4041
7231,51-4081
7231,51-4199
7231,51-9061
7232,49-9094
7232,51-4012
7232,51-4061
7232,51-4062
7232,51-4111
7232,51-4192
7233,47-2011
7233,47-2211
7233,51-4192
7234,47-2011
7234,47-2211
7234,51-4192
7235,47-2171
7235,47-2221
7235,51-2041
7236,47-2171
7236,47-2221
7236,51-2041
7237,51-4121
7237,51-4122
7241,47-2111
7241,47-2231
7242,47-2111
7242,47-2231
7243,47-4021
7243,49-1011
7243,49-2092
7243,49-2093
7243,49-2094
7243,49-2095
7243,49-2096
7243,49-2098
7243,49-3053
7243,49-9011
7243,49-9012
7243,49-9031
7243,49-9097
7244,49-1011
7244,49-9051
7245,49-1011
7245,49-2011
7245,49-2021
7245,49-2022
7245,49-2093
7245,49-2097
7245,49-9052
7246,49-1011
7246,49-2011
7246,49-2021
7246,49-2022
7246,49-2093
