noc2016_code,soc2010_code
8612,37-3019
8613,45-2093
8613,45-3011
8613,45-3021
8614,47-5049
8614,47-5081
8614,47-5099
8615,47-5071
8616,45-4029
9211,51-1011
9212,51-1011
9213,51-1011
9214,51-1011
9215,51-1011
9217,51-1011
9221,51-1011
9222,51-1011
9223,51-1011
9224,51-1011
9226,51-1011
9227,51-1011
9231,51-4051
9231,51-4191
9232,51-8091
9232,51-8092
9232,51-8093
9232,51-8099
9232,53-7071
9235,51-9012
9241,51-8011
9241,51-8012
9241,51-8013
9241,51-8021
9243,51-8031
9243,53-7072
9411,51-4021
9411,51-4023
9411,51-4051
9411,51-4052
9411,51-4191
9411,51-9051
9412,51-4051
9412,51-4052
9412,51-4071
9412,51-4072
9413,51-9021
9413,51-9031
9413,51-9032
9413,51-9041
9413,51-9051
9413,51-9195
9414,51-9021
9414,51-9022
9414,51-9023
9414,51-9032
9414,51-9051
9414,51-9194
9415,51-9061
9416,51-4011
9416,51-4022
9416,51-4023
9416,51-4031
9416,51-9199
9417,51-4011
9417,51-4032
9417,51-4033
9417,51-4034
9417,51-4035
9417,51-4081
9417,51-4194
9417,51-9199
9418,51-4081
9418,51-4199
9421,51-9011
9421,51-9023
9421,51-9041
9421,51-9193
9422,51-4021
9422,51-4023
9422,51-4031
9422,51-4072
9422,51-6091
9422,51-9023
9423,51-9031
9423,51-9032
9423,51-9041
9423,51-9061
9423,51-9191
9423,51-9192
9423,51-9195
9423,51-9197
9431,51-7041
9432,51-9012
9432,51-9023
9432,51-9192
9433,51-9196
9434,51-7041
9434,51-7042
9434,51-9051
9435,51-9196
9436,45-4023
9436,51-9061
9437,51-4011
9437,51-7041
9437,51-7042
9437,51-7099
9437,51-9191
9437,51-9199
9441,51-6061
9441,51-6064
9442,51-6063
9445,51-6062
9445,51-9031
9446,51-6031
9446,51-6042
9447,51-9061
9461,51-3091
9461,51-3092
9461,51-3093
9461,51-3099
9461,51-9012
9461,51-9021
9461,51-9041
9461,51-9111
9461,51-9193
9461,51-9195
9461,53-7072
9462,51-3022
9462,51-3023
9462,51-3099
9463,51-3022
9465,45-2041
9471,51-5112
9472,51-5111
9472,51-5112
9472,51-9151
9473,51-5113
9474,51-9151
9521,51-2011
9521,51-2092
9522,49-2096
9522,51-2092
9522,51-9061
9523,51-2022
9523,51-9061
9523,51-9141
9524,51-2022
9524,51-2023
9524,51-2092
9524,51-9061
9525,51-2021
9525,51-2022
9525,51-2023
9525,51-2031
9525,51-9061
9526,51-2031
9526,51-2092
9526,51-9061
9527,51-2022
9527,51-9061
9531,51-2091
9531,51-2092
9531,51-2099
9531,51-9061
9532,51-2099
9532,51-7011
9532,51-9061
9533,51-2099
9533,51-9061
9534,51-7021
9535,51-2092
9535,51-2099
9535,51-9061
9536,51-4193
9536,51-9121
9536,51-9122
9537,51-2093
9537,51-2099
9537,51-6099
9537,51-9061
9611,51-9198
9611,53-7063
9612,51-9198
9612,53-7063
9613,51-9198
9613,53-7063
9614,51-9198
9614,53-7063
9615,51-9198
9615,53-7063
9616,51-9198
9616,53-7063
9617,51-9198
9617,53-7063
9618,51-9198
9618,53-7064
9619,51-9198
9619,51-9199
9619,53-7063
9619,53-7064
