soc2010,soc2010_title,noc2011,noc2011_title
15-2021,Mathematicians,2161,"Mathematicians, statisticians and actuaries"
15-2031,Operations Research Analysts,2161,"Mathematicians, statisticians and actuaries"
15-2041,Statisticians,2161,"Mathematicians, statisticians and actuaries"
15-2091,Mathematical Technicians,2161,"Mathematicians, statisticians and actuaries"
15-2099,"Mathematical Science Occupations, All Other",2161,"Mathematicians, statisticians and actuaries"
15-2099,"Mathematical Science Occupations, All Other",2172,Database analysts and data administrators
17-1011,"Architects, Except Landscape and Naval",2151,Architects
17-1012,Landscape Architects,2152,Landscape architects
17-1021,Cartographers and Photogrammetrists,2255,Technical occupations in geomatics and meteorology
17-1022,Surveyors,2154,Land surveyors
17-2011,Aerospace Engineers,2146,Aerospace engineers
17-2021,Agricultural Engineers,2148,"Other professional engineers, n.e.c."
17-2031,Biomedical Engineers,2134,Chemical engineers
17-2031,Biomedical Engineers,2148,"Other professional engineers, n.e.c."
17-2041,Chemical Engineers,2134,Chemical engineers
17-2051,Civil Engineers,2131,Civil engineers
17-2061,Computer Hardware Engineers,2147,Computer engineers (except software engineers and designers)
17-2071,Electrical Engineers,2133,Electrical and electronics engineers
17-2072,"Electronics Engineers, Except Computer",2133,Electrical and electronics engineers
17-2072,"Electronics Engineers, Except Computer",2147,Computer engineers (except software engineers and designers)
17-2081,Environmental Engineers,2131,Civil engineers
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",2141,Industrial and manufacturing engineers
17-2112,Industrial Engineers,2141,Industrial and manufacturing engineers
17-2121,Marine Engineers and Naval Architects,2148,"Other professional engineers, n.e.c."
17-2131,Materials Engineers,2142,Metallurgical and materials engineers
17-2141,Mechanical Engineers,2132,Mechanical engineers
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",2143,Mining engineers
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",2144,Geological engineers
17-2161,Nuclear Engineers,2132,Mechanical engineers
17-2171,Petroleum Engineers,2145,Petroleum engineers
17-2199,"Engineers, All Other",2148,"Other professional engineers, n.e.c."
17-3011,Architectural and Civil Drafters,2251,Architectural technologists and technicians
17-3011,Architectural and Civil Drafters,2253,Drafting technologists and technicians
17-3012,Electrical and Electronics Drafters,2253,Drafting technologists and technicians
17-3013,Mechanical Drafters,2253,Drafting technologists and technicians
17-3019,"Drafters, All Other",2253,Drafting technologists and technicians
17-3021,Aerospace Engineering and Operations Technicians,2232,Mechanical engineering technologists and technicians
17-3022,Civil Engineering Technicians,2231,Civil engineering technologists and technicians
17-3023,Electrical and Electronic Engineering Technicians,2241,Electrical and electronics engineering technologists and technicians
17-3024,Electro-Mechanical Technicians,2232,Mechanical engineering technologists and technicians
17-3024,Electro-Mechanical Technicians,2241,Electrical and electronics engineering technologists and technicians
17-3025,Environmental Engineering Technicians,2231,Civil engineering technologists and technicians
17-3026,Industrial Engineering Technicians,2233,Industrial engineering and manufacturing technologists and technicians
17-3027,Mechanical Engineering Technicians,2232,Mechanical engineering technologists and technicians
17-3029,"Engineering Technicians, Except Drafters, All Other",2231,Civil engineering technologists and technicians
17-3029,"Engineering Technicians, Except Drafters, All Other",2243,Industrial instrument technicians and mechanics
17-3029,"Engineering Technicians, Except Drafters, All Other",2261,Non-destructive testers and inspection technicians
17-3031,Surveying and Mapping Technicians,2254,Land survey technologists and technicians
17-3031,Surveying and Mapping Technicians,2255,Technical occupations in geomatics and meteorology
19-1011,Animal Scientists,2121,Biologists and related scientists
19-1012,Food Scientists and Technologists,2121,Biologists and related scientists
19-1012,Food Scientists and Technologists,2211,Chemical technologists and technicians
19-1013,Soil and Plant Scientists,2115,Other professional occupations in physical sciences
19-1013,Soil and Plant Scientists,2121,Biologists and related scientists
19-1021,Biochemists and Biophysicists,2111,Physicists and astronomers
19-1021,Biochemists and Biophysicists,2112,Chemists
19-1022,Microbiologists,2121,Biologists and related scientists
19-1022,Microbiologists,3111,Specialist physicians
19-1023,Zoologists and Wildlife Biologists,2121,Biologists and related scientists
19-1029,"Biological Scientists, All Other",2121,Biologists and related scientists
19-1031,Conservation Scientists,2123,"Agricultural representatives, consultants and specialists"
19-1032,Foresters,2122,Forestry professionals
19-1041,Epidemiologists,2161,"Mathematicians, statisticians and actuaries"
19-1041,Epidemiologists,3111,Specialist physicians
19-1041,Epidemiologists,3114,Veterinarians
19-1042,"Medical Scientists, Except Epidemiologists",3111,Specialist physicians
19-1042,"Medical Scientists, Except Epidemiologists",3131,Pharmacists
19-1099,"Life Scientists, All Other",3111,Specialist physicians
19-2011,Astronomers,2111,Physicists and astronomers
19-2012,Physicists,2111,Physicists and astronomers
19-2021,Atmospheric and Space Scientists,2111,Physicists and astronomers
19-2021,Atmospheric and Space Scientists,2112,Chemists
19-2021,Atmospheric and Space Scientists,2114,Meteorologists and climatologists
19-2031,Chemists,2112,Chemists
19-2032,Materials Scientists,2115,Other professional occupations in physical sciences
19-2041,"Environmental Scientists and Specialists, Including Health",2121,Biologists and related scientists
19-2041,"Environmental Scientists and Specialists, Including Health",4161,"Natural and applied science policy researchers, consultants and program officers"
19-2042,"Geoscientists, Except Hydrologists and Geographers",2113,Geoscientists and oceanographers
19-2043,Hydrologists,2113,Geoscientists and oceanographers
19-2099,"Physical Scientists, All Other",2115,Other professional occupations in physical sciences
