noc2011_code,noc2011_title,isco2008_code,isco2008_title,Explanatory_notes
2144,Geological engineers,2142,Civil engineers,Geological engineers
2145,Petroleum engineers,2146,"Mining engineers, metallurgists and related professionals",Petroleum and natural gas engineer
2146,Aerospace engineers,2144,Mechanical engineers,Aerospace engineers
2147,Computer engineers (except software engineers and designers),2152,Electronics engineers,Computer engineers
2147,Computer engineers (except software engineers and designers),2153,Telecommunications engineers,Except engineers - radio and television broadcasting
2147,Computer engineers (except software engineers and designers),2523,Computer network professionals,
2148,"Other professional engineers, n.e.c.",2144,Mechanical engineers,Naval engineers
2148,"Other professional engineers, n.e.c.",2149,Engineering professionals not elsewhere classified,"Professional engineers, n.e.c. (except naval engineers)"
2151,Architects,2161,Building architects,
2152,Landscape architects,2162,Landscape architects,Except landscape architectural technologists and landscape designers
2153,Urban and land use planners,2164,Town and traffic planners,
2154,Land surveyors,2165,Cartographers and surveyors,Land surveyors
2161,"Mathematicians, statisticians and actuaries",2120,"Mathematicians, actuaries and statisticians",
2171,Information systems analysts and consultants,2511,Systems analysts,
2171,Information systems analysts and consultants,2519,Software and applications developers and analysts not elsewhere classified,Systems quality assurance analysts
2171,Information systems analysts and consultants,2529,Database and network professionals not elsewhere classified,
2172,Database analysts and data administrators,2521,Database designers and administrators,
2173,Software engineers and designers,2512,Software developers,Except programmer analysts
2174,Computer programmers and interactive media developers,2512,Software developers,Programmer analysts
2174,Computer programmers and interactive media developers,2513,Web and multimedia developers,Interactive media developers
2174,Computer programmers and interactive media developers,2514,Applications programmers,
2175,Web designers and developers,2166,Graphic and multimedia designers,Web designers
2175,Web designers and developers,2513,Web and multimedia developers,Web site developers
2175,Web designers and developers,3514,Web technicians,Webmasters
2211,Chemical technologists and technicians,3111,Chemical and physical science technicians,Except geological technicians and technical occupations in meteorology
2211,Chemical technologists and technicians,3116,Chemical engineering technicians,Except petroleum engineering technicians
2211,Chemical technologists and technicians,3119,Physical and engineering science technicians not elsewhere classified,Forensic laboratory technicians
2211,Chemical technologists and technicians,3141,Life science technicians (excluding medical),Biochemistry technicians and technologists (except medical)
2212,Geological and mineral technologists and technicians,3111,Chemical and physical science technicians,Geological technicians
2212,Geological and mineral technologists and technicians,3116,Chemical engineering technicians,Petroleum engineering technicians
2212,Geological and mineral technologists and technicians,3117,Mining and metallurgical technicians,
2221,Biological technologists and technicians,3141,Life science technicians (excluding medical),"Biological technologists and technicians (except agriculture, aquaculture and fish hatchery technicians)"
2221,Biological technologists and technicians,3142,Agricultural technicians,Agricultural technicians (except horticultural technicians and technologists)
2221,Biological technologists and technicians,6221,Aquaculture workers,Aquaculture and fish hatchery technicians
2222,Agricultural and fish products inspectors,3359,Regulatory government associate professionals not elsewhere classified,Agricultural and fish products inspectors
2223,Forestry technologists and technicians,2132,"Farming, forestry and fisheries advisers",Silviculturists
2223,Forestry technologists and technicians,3143,Forestry technicians,
2223,Forestry technologists and technicians,6210,Forestry and related workers,Timber cruisers
2224,Conservation and fishery officers,2133,Environmental protection professionals,"Conservation officers, fisheries officers and park rangers"
2224,Conservation and fishery officers,5419,Protective services workers not elsewhere classified,Game warden
2225,Landscape and horticulture technicians and specialists,2162,Landscape architects,Landscape architectural technologists and landscape designers
2225,Landscape and horticulture technicians and specialists,3142,Agricultural technicians,Horticultural technicians and technologists
2225,Landscape and horticulture technicians and specialists,6113,"Gardeners, horticultural and nursery growers",Horticulturists and landscape gardeners
2231,Civil engineering technologists and technicians,3112,Civil engineering technicians,"Except construction estimators and inspectors, land survey technicians and fire inspectors and prevention specialists"
2232,Mechanical engineering technologists and technicians,3115,Mechanical engineering technicians,
2232,Mechanical engineering technologists and technicians,3119,Physical and engineering science technicians not elsewhere classified,Robotics technicians
