nocs2006,nocs2006_title,soc2010,soc2010_title
J217,"Machine operators and inspectors, electrical apparatus manufacturing",51-2022,Electrical and Electronic Equipment Assemblers
J217,"Machine operators and inspectors, electrical apparatus manufacturing",51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers"
J221,Boat assemblers and inspectors,51-2091,Fiberglass Laminators and Fabricators
J221,Boat assemblers and inspectors,51-2092,Team Assemblers
J221,Boat assemblers and inspectors,51-2099,"Assemblers and Fabricators, All Other"
J221,Boat assemblers and inspectors,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers"
J222,Furniture and fixture assemblers and inspectors,51-2099,"Assemblers and Fabricators, All Other"
J222,Furniture and fixture assemblers and inspectors,51-7011,Cabinetmakers and Bench Carpenters
J222,Furniture and fixture assemblers and inspectors,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers"
J223,Other wood products assemblers and inspectors,51-2099,"Assemblers and Fabricators, All Other"
J223,Other wood products assemblers and inspectors,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers"
J224,Furniture finishers and refinishers,51-7021,Furniture Finishers
J225,"Plastic products assemblers, finishers and inspectors",51-2092,Team Assemblers
J225,"Plastic products assemblers, finishers and inspectors",51-2099,"Assemblers and Fabricators, All Other"
J225,"Plastic products assemblers, finishers and inspectors",51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers"
J226,Painters and coaters - industrial,51-4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic"
J226,Painters and coaters - industrial,51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
J226,Painters and coaters - industrial,51-9122,"Painters, Transportation Equipment"
J227,"Plating, metal spraying and related operators",51-4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic"
J227,"Plating, metal spraying and related operators",51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
J227,"Plating, metal spraying and related operators",51-9122,"Painters, Transportation Equipment"
J228,Other assemblers and inspectors,51-2093,Timing Device Assemblers and Adjusters
J228,Other assemblers and inspectors,51-2099,"Assemblers and Fabricators, All Other"
J228,Other assemblers and inspectors,51-6099,"Textile, Apparel, and Furnishings Workers, All Other"
J228,Other assemblers and inspectors,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers"
J311,Labourers in mineral and metal processing,51-9198,Helpers--Production Workers
J311,Labourers in mineral and metal processing,53-7063,Machine Feeders and Offbearers
J312,Labourers in metal fabrication,51-9198,Helpers--Production Workers
J312,Labourers in metal fabrication,53-7063,Machine Feeders and Offbearers
J313,Labourers in chemical products processing and utilities,51-9198,Helpers--Production Workers
J313,Labourers in chemical products processing and utilities,53-7063,Machine Feeders and Offbearers
J314,"Labourers in wood, pulp and paper processing",51-9198,Helpers--Production Workers
J314,"Labourers in wood, pulp and paper processing",53-7063,Machine Feeders and Offbearers
J315,Labourers in rubber and plastic products manufacturing,51-9198,Helpers--Production Workers
J315,Labourers in rubber and plastic products manufacturing,53-7063,Machine Feeders and Offbearers
J316,Labourers in textile processing,51-9198,Helpers--Production Workers
J316,Labourers in textile processing,53-7063,Machine Feeders and Offbearers
J317,"Labourers in food, beverage and tobacco processing",51-9198,Helpers--Production Workers
J317,"Labourers in food, beverage and tobacco processing",53-7063,Machine Feeders and Offbearers
J318,Labourers in fish processing,51-9198,Helpers--Production Workers
J318,Labourers in fish processing,53-7064,"Packers and Packagers, Hand"
J319,"Other labourers in processing, manufacturing and utilities",51-9198,Helpers--Production Workers
J319,"Other labourers in processing, manufacturing and utilities",51-9199,"Production Workers, All Other"
J319,"Other labourers in processing, manufacturing and utilities",53-7063,Machine Feeders and Offbearers
J319,"Other labourers in processing, manufacturing and utilities",53-7064,"Packers and Packagers, Hand"
