soc2010_code,soc2010_title,noc2011_code,noc2011_title
51-9022,"Grinding and Polishing Workers, Hand",9418,Other metal products machine operators
51-9022,"Grinding and Polishing Workers, Hand",9612,Labourers in metal fabrication
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",9413,Glass forming and finishing machine operators and glass cutters
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",9414,"Concrete, clay and stone forming operators"
51-9031,"Cutters and Trimmers, Hand",5244,Artisans and craftspersons
51-9031,"Cutters and Trimmers, Hand",5245,"Patternmakers - textile, leather and fur products"
51-9031,"Cutters and Trimmers, Hand",9413,Glass forming and finishing machine operators and glass cutters
51-9031,"Cutters and Trimmers, Hand",9445,"Fabric, fur and leather cutters"
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",9414,"Concrete, clay and stone forming operators"
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",9413,Glass forming and finishing machine operators and glass cutters
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",9414,"Concrete, clay and stone forming operators"
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",9423,Rubber processing machine operators and related workers
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",9461,"Process control and machine operators, food, beverage and associated products processing"
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",9463,Fish and seafood plant workers
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",9465,"Testers and graders, food, beverage and associated products processing"
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",9413,Glass forming and finishing machine operators and glass cutters
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",9414,"Concrete, clay and stone forming operators"
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",9423,Rubber processing machine operators and related workers
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",9434,Other wood processing machine operators
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations"
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",7231,Machinists and machining and tooling inspectors
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",9415,"Inspectors and testers, mineral and metal processing"
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",9418,Other metal products machine operators
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",9421,Chemical plant machine operators
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",9423,Rubber processing machine operators and related workers
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",9432,Pulp mill machine operators
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",9433,Papermaking and finishing machine operators
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",9436,Lumber graders and other wood processing inspectors and graders
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",9447,"Inspectors and graders, textile, fabric, fur and leather products manufacturing"
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",9521,Aircraft assemblers and aircraft assembly inspectors
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",9522,"Motor vehicle assemblers, inspectors and testers"
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",9523,"Electronics assemblers, fabricators, inspectors and testers"
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",9524,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing"
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",9525,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers"
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",9526,Mechanical assemblers and inspectors
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",9527,"Machine operators and inspectors, electrical apparatus manufacturing"
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",9531,Boat assemblers and inspectors
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",9532,Furniture and fixture assemblers and inspectors
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",9533,Other wood products assemblers and inspectors
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",9535,"Plastic products assemblers, finishers and inspectors"
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",9537,"Other products assemblers, finishers and inspectors"
51-9071,Jewelers and Precious Stone and Metal Workers,5244,Artisans and craftspersons
51-9071,Jewelers and Precious Stone and Metal Workers,6344,"Jewellers, jewellery and watch repairers and related occupations"
51-9081,Dental Laboratory Technicians,3219,Other medical technologists and technicians (except dental health)
51-9081,Dental Laboratory Technicians,3221,Denturists
51-9081,Dental Laboratory Technicians,3223,"Dental technologists, technicians and laboratory assistants"
51-9081,Dental Laboratory Technicians,3237,Other technical occupations in therapy and assessment
51-9082,Medical Appliance Technicians,3219,Other medical technologists and technicians (except dental health)
51-9082,Medical Appliance Technicians,3221,Denturists
51-9082,Medical Appliance Technicians,3223,"Dental technologists, technicians and laboratory assistants"
51-9082,Medical Appliance Technicians,3237,Other technical occupations in therapy and assessment
51-9083,Ophthalmic Laboratory Technicians,3414,Other assisting occupations in support of health services
51-9083,Ophthalmic Laboratory Technicians,7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers"
51-9083,Ophthalmic Laboratory Technicians,7384,"Other trades and related occupations, n.e.c."
51-9083,Ophthalmic Laboratory Technicians,7441,Residential and commercial installers and servicers
51-9083,Ophthalmic Laboratory Technicians,7445,Other repairers and servicers
51-9083,Ophthalmic Laboratory Technicians,9537,"Other products assemblers, finishers and inspectors"
51-9111,Packaging and Filling Machine Operators and Tenders,9421,Chemical plant machine operators
51-9111,Packaging and Filling Machine Operators and Tenders,9461,"Process control and machine operators, food, beverage and associated products processing"
51-9111,Packaging and Filling Machine Operators and Tenders,9619,"Other labourers in processing, manufacturing and utilities"
51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",7322,Motor vehicle body repairers
51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",9534,Furniture finishers and refinishers
51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",9536,"Industrial painters, coaters and metal finishing process operators"
51-9122,"Painters, Transportation Equipment",7322,Motor vehicle body repairers
51-9122,"Painters, Transportation Equipment",9534,Furniture finishers and refinishers
51-9122,"Painters, Transportation Equipment",9536,"Industrial painters, coaters and metal finishing process operators"
51-9123,"Painting, Coating, and Decorating Workers",5136,"Painters, sculptors and other visual artists"
51-9123,"Painting, Coating, and Decorating Workers",5223,Graphic arts technicians
51-9123,"Painting, Coating, and Decorating Workers",5244,Artisans and craftspersons
51-9123,"Painting, Coating, and Decorating Workers",7384,"Other trades and related occupations, n.e.c."
51-9141,Semiconductor Processors,9418,Other metal products machine operators
51-9141,Semiconductor Processors,9523,"Electronics assemblers, fabricators, inspectors and testers"
51-9151,Photographic Process Workers and Processing Machine Operators,7303,"Supervisors, printing and related occupations"
51-9151,Photographic Process Workers and Processing Machine Operators,9474,Photographic and film processors
51-9191,Adhesive Bonding Machine Operators and Tenders,9418,Other metal products machine operators
51-9191,Adhesive Bonding Machine Operators and Tenders,9434,Other wood processing machine operators
51-9191,Adhesive Bonding Machine Operators and Tenders,9435,Paper converting machine operators
51-9191,Adhesive Bonding Machine Operators and Tenders,9523,"Electronics assemblers, fabricators, inspectors and testers"
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",9411,"Machine operators, mineral and metal processing"
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",9414,"Concrete, clay and stone forming operators"
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",9432,Pulp mill machine operators
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",9433,Papermaking and finishing machine operators
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",9536,"Industrial painters, coaters and metal finishing process operators"
51-9193,Cooling and Freezing Equipment Operators and Tenders,9418,Other metal products machine operators
51-9193,Cooling and Freezing Equipment Operators and Tenders,9461,"Process control and machine operators, food, beverage and associated products processing"
51-9193,Cooling and Freezing Equipment Operators and Tenders,9463,Fish and seafood plant workers
51-9193,Cooling and Freezing Equipment Operators and Tenders,9523,"Electronics assemblers, fabricators, inspectors and testers"
51-9194,Etchers and Engravers,5136,"Painters, sculptors and other visual artists"
51-9194,Etchers and Engravers,5223,Graphic arts technicians
51-9194,Etchers and Engravers,5244,Artisans and craftspersons
51-9194,Etchers and Engravers,7384,"Other trades and related occupations, n.e.c."
51-9194,Etchers and Engravers,9523,"Electronics assemblers, fabricators, inspectors and testers"
51-9194,Etchers and Engravers,9524,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing"
51-9194,Etchers and Engravers,9525,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers"
51-9194,Etchers and Engravers,9527,"Machine operators and inspectors, electrical apparatus manufacturing"
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",5244,Artisans and craftspersons
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",7384,"Other trades and related occupations, n.e.c."
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",9413,Glass forming and finishing machine operators and glass cutters
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",9414,"Concrete, clay and stone forming operators"
